gpstime,alt,vel
2022-09-13 02:32:19+00,-30,0
2022-09-13 02:35:03+00,-27,1
2022-09-13 02:39:58+00,-25,0
2022-09-13 02:40:29+00,-30,0
2022-09-13 02:43:28+00,-29,0
2022-09-13 02:46:39+00,-29,0
2022-09-13 02:49:48+00,-30,0
2022-09-13 02:52:56+00,-29,0
2022-09-13 02:56:05+00,-29,0
2022-09-13 02:56:05+00,-29,0
2022-09-13 02:56:05+00,-29,0
2022-09-13 04:35:50+00,11690,960
2022-09-13 05:53:45+00,11696,964
2022-09-13 05:53:58+00,11402,961
2022-09-13 10:23:34+00,11401,1000
2022-09-13 11:25:57+00,12528,0
2022-09-13 12:08:37+00,2873,476
2022-09-13 12:19:58+00,55,119
2022-09-13 12:19:58+00,55,119
2022-09-13 12:19:58+00,55,119
2022-09-13 12:27:10+00,55,0
2022-09-13 12:36:43+00,55,0
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
2022-09-13 12:40:44+00,55,7
