gpstime,alt,vel
2022-08-28 18:35:22+00,12030,886
2022-08-28 18:35:34+00,12030,885
2022-08-28 18:35:46+00,12034,884
2022-08-28 18:35:58+00,12032,883
2022-08-28 18:36:10+00,12032,883
2022-08-28 18:36:22+00,12033,882
2022-08-28 18:36:22+00,12033,882
2022-08-28 18:36:46+00,12034,880
2022-08-28 18:36:58+00,12033,879
2022-08-28 18:37:10+00,12036,879
2022-08-28 18:37:22+00,12038,878
2022-08-28 18:37:34+00,12035,878
2022-08-28 18:37:46+00,12037,877
2022-08-28 18:37:46+00,12037,877
2022-08-28 18:38:10+00,12040,875
2022-08-28 18:38:22+00,12042,874
2022-08-28 18:38:34+00,12042,873
2022-08-28 18:38:46+00,12041,873
2022-08-28 18:38:58+00,12043,871
2022-08-28 18:39:10+00,12042,870
2022-08-28 18:39:22+00,12043,868
2022-08-28 18:39:34+00,12044,867
2022-08-28 18:39:46+00,12045,866
2022-08-28 18:39:58+00,12045,865
2022-08-28 18:40:10+00,12042,866
2022-08-28 18:40:22+00,12043,866
2022-08-28 18:40:34+00,12043,866
2022-08-28 18:40:46+00,12044,866
2022-08-28 18:40:58+00,12046,865
2022-08-28 18:41:10+00,12049,864
2022-08-28 18:41:22+00,12048,863
2022-08-28 18:41:34+00,12047,862
2022-08-28 18:41:46+00,12045,861
2022-08-28 18:41:58+00,12048,859
2022-08-28 18:42:10+00,12051,858
2022-08-28 18:42:22+00,12051,857
2022-08-28 18:42:34+00,12051,858
2022-08-28 18:42:46+00,12053,858
2022-08-28 18:42:58+00,12055,860
2022-08-28 18:43:10+00,12055,861
2022-08-28 18:43:22+00,12057,861
2022-08-28 18:43:34+00,12058,862
2022-08-28 18:43:46+00,12058,862
2022-08-28 18:43:58+00,12058,862
2022-08-28 18:43:58+00,12058,862
2022-08-28 18:45:52+00,12073,0
2022-08-28 18:54:46+00,12101,852
2022-08-28 18:54:58+00,12104,848
2022-08-28 18:55:10+00,12103,849
2022-08-28 18:55:22+00,12105,847
2022-08-28 18:55:34+00,12108,848
2022-08-28 18:55:46+00,12109,847
2022-08-28 18:55:58+00,12111,851
